brand,name,reviews.rating,reviews.text,reviews.title,combined_text,keyword_pos_great,keyword_pos_nice,keyword_pos_delicious,keyword_pos_excellent,keyword_pos_awesome,keyword_pos_fantastic,keyword_pos_favorite,keyword_pos_love,keyword_neg_isn,keyword_neg_never,keyword_neg_mistake,keyword_neg_disappointed,keyword_neg_not,keyword_neg_bad,keyword_neg_risk,keyword_neg_,review_label,sentiment_score,rating_label,matched_label
California Roots,California Roots Red Blend Wine - 750ml,5.0,nice light wine sure expect surpris well tast bottl,,nice light wine sure expect surpris well tast bottl california root red blend wine ml california root,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7351,1,1
Wine Cube153,Chardonnay - 1l Bottle - Wine Cube153,4.0,much drink white wine need find budget bottl wed dollar bottl beat pretti good wont impress anyon mondaythursday home budget drink good,Pretty Good For Wine In A Box!,much drink white wine need find budget bottl wed dollar bottl beat pretti good wont impress anyon mondaythursday home budget drink good pretti good wine box chardonnay l bottl wine cube wine cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.7426,1,0
Fancy Pants,Fancy Pants174 Cabernet Sauvignon - 750ml Bottle,5.0,serv differ varieti parti guest love sinc wine expert simpli give note varieti fanci pant websit robust rich palat ripe berri red fruit toasti oak flavor cherri vanilla spice mouth lead long linger finish,This Wine Made My Party!,serv differ varieti parti guest love sinc wine expert simpli give note varieti fanci pant websit robust rich palat ripe berri red fruit toasti oak flavor cherri vanilla spice mouth lead long linger finish wine made parti fanci pant cabernet sauvignon ml bottl fanci pant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8807,1,1
Beringer,Beringer174 Be. Flirty Pink Moscato - 750ml Bottle,5.0,tri bering make pink moscato troubl open corkscrew one bought target instor realli like sweet fruiti flavor pink look wine plan stock holiday,Tried The Past Type & It's My Favorite So This Should Be Great!,tri bering make pink moscato troubl open corkscrew one bought target instor realli like sweet fruiti flavor pink look wine plan stock holiday tri past type favorit great bering flirti pink moscato ml bottl bering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.9062,1,0
Fancy Pants,Fancy Pants174 Red Blend - 750ml Bottle,5.0,like fruit forward blend red smooth finish jammi tast love think year search favorit red wine end,A Scrumptious Red!,like fruit forward blend red smooth finish jammi tast love think year search favorit red wine end scrumptiou red fanci pant red blend ml bottl fanci pant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.7717,1,1
Josh Cellars,Josh Cellars174 Ros233 - 750ml Bottle,5.0,dri rose sweet perfect summer,Refreshing Rose!,dri rose sweet perfect summer refresh rose josh cellar ro ml bottl josh cellar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.7717,1,0
Coppola,Sofia Rose 750ml Bottle,5.0,wonder dri wine tast divin,Favorite Rosé,wonder dri wine tast divin favorit rosé sofia rose ml bottl coppola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1,0
Coppola,Sofia Rose 750ml Bottle,5.0,wonder dri wine tast divin,Favorite Ros��,wonder dri wine tast divin favorit ro sofia rose ml bottl coppola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1,0
Strongbow,Strongbow174 Gold Apple Hard Cider - 6pk / 11.2oz Bottles,5.0,look strongbow u year,Now That's Cider,look strongbow u year that cider strongbow gold appl hard cider pk oz bottl strongbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.1027,1,0
Spikedseltzer,Spiked Seltzer174 Indian River Grapefruit - 6pk / 12oz Cans,5.0,refresh nice grapefruit flavor peopl dislik seltzer water good pour ice,Refreshing,refresh nice grapefruit flavor peopl dislik seltzer water good pour ice refresh spike seltzer indian river grapefruit pk oz can spikedseltz,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6908,1,1
Truly Spiked Sparkling,Truly174 Colima Lime - 6pk / 12oz Bottles,5.0,sweetand like like tast sparkl water benefit alcohol,Here Are The Reasons I Like Truly,sweetand like like tast sparkl water benefit alcohol reason like truli truli colima lime pk oz bottl truli spike sparkl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8591,1,0
Cupcake Vineyards,Cupcake Vineyards174 Cabernet Sauvignon - 750ml Bottle,5.0,best cabernet ive ever tast simpl,"Best Cabernet I've Ever Tasted, Simple As That.",best cabernet ive ever tast simpl best cabernet ive ever tast simpl cupcak vineyard cabernet sauvignon ml bottl cupcak vineyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8555,1,0
Truly Spiked Sparkling,Truly174 Grapefruit Pomelo - 6pk / 12oz Bottles,5.0,refresh loveit,I Love It!,refresh loveit love truli grapefruit pomelo pk oz bottl truli spike sparkl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6369,1,0
Margaritaville,Cayman Jack174 Margarita Malt Beverage - 6pk / 11.2oz Bottles,5.0,cayman jack margarita realli good found southern california target cant find northern california store,Deliciously Tangy,cayman jack margarita realli good found southern california target cant find northern california store delici tangi cayman jack margarita malt beverag pk oz bottl margaritavil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.4404,1,0
George Killian's,George Killian's174 Premium Irish Red - 6pk / 12oz Bottles,4.0,expect beer bitter side first time tri still enjoy smooth tast id definit buy get chanc,Decent Beer For A Good Price,expect beer bitter side first time tri still enjoy smooth tast id definit buy get chanc decent beer good price georg killian premium irish red pk oz bottl georg killian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5106,1,0
Entwine,Entwine174 Cabernet Sauvignon - 750ml Bottle,5.0,look like linear regul outsid review order puppi put test definit switcher fairli quiet well regul like rm itali product great qualiti,Looked like a linear regulator from outside and no reviews on ...,look like linear regul outsid review order puppi put test definit switcher fairli quiet well regul like rm itali product great qualiti look like linear regul outsid review entwin cabernet sauvignon ml bottl entwin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9136,1,1
La Marca,La Marca174 Prosecco - 750ml Bottle,5.0,love sparkl wine find brand sweet im age longer want sweet stufd medium bodi wine strong bubbl love bubbl alcohol content offer nice buzz fairli quickli ecstat found brand target carri,Luv This Wine,love sparkl wine find brand sweet im age longer want sweet stufd medium bodi wine strong bubbl love bubbl alcohol content offer nice buzz fairli quickli ecstat found brand target carri luv wine la marca prosecco ml bottl la marca,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.9674,1,1
Gallo,Alamos174 Malbec - 750ml Bottle,5.0,serv babi shower everyon went crazi inexpens gem,,serv babi shower everyon went crazi inexpens gem alamo malbec ml bottl gallo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1,0
Bogle Vineyards,Bogle Vineyards174 Chardonnay - 750ml Bottle,5.0,wine fullbodi delici,delicious,wine fullbodi delici delici bogl vineyard chardonnay ml bottl bogl vineyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1,0
Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,4.0,super wine fruiti tast regular wine drinker routin wine choic price right good tast,Great wine for price,super wine fruiti tast regular wine drinker routin wine choic price right good tast great wine price black box cabernet sauvignon l bottl black box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8979,1,0
Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,1.0,tast either old spoil stick bottl,Not worth the money!,tast either old spoil stick bottl worth money black box cabernet sauvignon l bottl black box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.2263,0,0
Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,5.0,goto wine dinner parti better bottl,Nice Red,goto wine dinner parti better bottl nice red black box cabernet sauvignon l bottl black box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6908,1,0
Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,enjoy jim beam origin mani year start mix jbo slice wife watch dalla tri whiskey keep come back jb enjoy mix diet pepsi sinc longer find slice,Always Have Jb Original On Hand,enjoy jim beam origin mani year start mix jbo slice wife watch dalla tri whiskey keep come back jb enjoy mix diet pepsi sinc longer find slice alway jb origin hand jim beam bourbon whiskey l bottl jim beam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8625,1,0
Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,goe great appl cider,Yumm,goe great appl cider yumm jim beam bourbon whiskey l bottl jim beam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6249,1,1
Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,consist flavor qualiti jb dr pepper surprisingli tasti highli recommend love commerci mila proud keep good work,Always Consistent,consist flavor qualiti jb dr pepper surprisingli tasti highli recommend love commerci mila proud keep good work alway consist jim beam bourbon whiskey l bottl jim beam,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9136,1,1
Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,true classic spirit,A Drink That Stands Out; And Smooth As Well...,true classic spirit drink stand smooth well jim beam bourbon whiskey l bottl jim beam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6808,1,0
Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,love bourbon alway first choic time unwind whether neat rock coke ginger ale grandpa whiskey sour noth top jim beam noth,Perfect & Versatile,love bourbon alway first choic time unwind whether neat rock coke ginger ale grandpa whiskey sour noth top jim beam noth perfect versatil jim beam bourbon whiskey l bottl jim beam,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9136,1,1
